id	topic	aru	en	notes
D001	meeting	lani ne ta ra se? lani ne na ra ya Mira. ta ra nema ke ya Aru? na ra nema ke ya Aru. o waro we na.	What is your name? My name is Mira. Do you study Aru? I study Aru. Speak with me.	Five-turn dialogue
D002	house	malo ne na ra kima. ka ta ra rima naka ko i? na ra rima naka ko i. ka malo ra nilo? malo ra nilo mini.	My house is near. Do you want to go to it? I want to go to it. Is the house cold? The house is slightly cold.	Five-turn dialogue
D003	tool	tulu i ra rupi. ta ra pawa mela ke i? na ra pawa mela ke i. o lano ke tulu ko na. na ra lano ke i ko ta.	This tool is broken. Can you repair it? I can repair it. Give the tool to me. I give it to you.	Five-turn dialogue
D004	learning	ta ra sona ke naru i? na ra sona ke naru mini. se ra kasa? sipu re ri ra ama ke naru mun, ra kasa. na ra sona.	Do you know this rule? I know the small rule. What is hard? A text that has many rules is hard. I understand.	Five-turn dialogue
D005	cause	ta ra pa no tanu so etu se? na ra pa no tanu so etu roka. temu luma po le, ta o tanu. na ra po tanu. na ra lora ke ta.	Why did you not come? I did not come because of rain. Tomorrow, come. I will come. I hear you.	Five-turn dialogue
D006	public	sipu i ra puka. se ra lowa ke i? mene mun ra lowa ke i. ka sipu ra lisu? sipu ra lisu, tune sipu ra mini.	This text is open. Who reads it? Many people read it. Is the text simple? The text is simple, but the text is small.	Five-turn dialogue
D007	meeting	lani ne ta ra se? lani ne na ra ya Mira. ta ra nema ke ya Aru? na ra nema ke ya Aru. o waro we na.	What is your name? My name is Mira. Do you study Aru? I study Aru. Speak with me.	Five-turn dialogue
D008	house	malo ne na ra kima. ka ta ra rima naka ko i? na ra rima naka ko i. ka malo ra nilo? malo ra nilo mini.	My house is near. Do you want to go to it? I want to go to it. Is the house cold? The house is slightly cold.	Five-turn dialogue
D009	tool	tulu i ra rupi. ta ra pawa mela ke i? na ra pawa mela ke i. o lano ke tulu ko na. na ra lano ke i ko ta.	This tool is broken. Can you repair it? I can repair it. Give the tool to me. I give it to you.	Five-turn dialogue
D010	learning	ta ra sona ke naru i? na ra sona ke naru mini. se ra kasa? sipu re ri ra ama ke naru mun, ra kasa. na ra sona.	Do you know this rule? I know the small rule. What is hard? A text that has many rules is hard. I understand.	Five-turn dialogue
D011	cause	ta ra pa no tanu so etu se? na ra pa no tanu so etu roka. temu luma po le, ta o tanu. na ra po tanu. na ra lora ke ta.	Why did you not come? I did not come because of rain. Tomorrow, come. I will come. I hear you.	Five-turn dialogue
D012	public	sipu i ra puka. se ra lowa ke i? mene mun ra lowa ke i. ka sipu ra lisu? sipu ra lisu, tune sipu ra mini.	This text is open. Who reads it? Many people read it. Is the text simple? The text is simple, but the text is small.	Five-turn dialogue
D013	meeting	lani ne ta ra se? lani ne na ra ya Mira. ta ra nema ke ya Aru? na ra nema ke ya Aru. o waro we na.	What is your name? My name is Mira. Do you study Aru? I study Aru. Speak with me.	Five-turn dialogue
D014	house	malo ne na ra kima. ka ta ra rima naka ko i? na ra rima naka ko i. ka malo ra nilo? malo ra nilo mini.	My house is near. Do you want to go to it? I want to go to it. Is the house cold? The house is slightly cold.	Five-turn dialogue
D015	tool	tulu i ra rupi. ta ra pawa mela ke i? na ra pawa mela ke i. o lano ke tulu ko na. na ra lano ke i ko ta.	This tool is broken. Can you repair it? I can repair it. Give the tool to me. I give it to you.	Five-turn dialogue
D016	learning	ta ra sona ke naru i? na ra sona ke naru mini. se ra kasa? sipu re ri ra ama ke naru mun, ra kasa. na ra sona.	Do you know this rule? I know the small rule. What is hard? A text that has many rules is hard. I understand.	Five-turn dialogue
D017	cause	ta ra pa no tanu so etu se? na ra pa no tanu so etu roka. temu luma po le, ta o tanu. na ra po tanu. na ra lora ke ta.	Why did you not come? I did not come because of rain. Tomorrow, come. I will come. I hear you.	Five-turn dialogue
D018	public	sipu i ra puka. se ra lowa ke i? mene mun ra lowa ke i. ka sipu ra lisu? sipu ra lisu, tune sipu ra mini.	This text is open. Who reads it? Many people read it. Is the text simple? The text is simple, but the text is small.	Five-turn dialogue
D019	meeting	lani ne ta ra se? lani ne na ra ya Mira. ta ra nema ke ya Aru? na ra nema ke ya Aru. o waro we na.	What is your name? My name is Mira. Do you study Aru? I study Aru. Speak with me.	Five-turn dialogue
D020	house	malo ne na ra kima. ka ta ra rima naka ko i? na ra rima naka ko i. ka malo ra nilo? malo ra nilo mini.	My house is near. Do you want to go to it? I want to go to it. Is the house cold? The house is slightly cold.	Five-turn dialogue
D021	tool	tulu i ra rupi. ta ra pawa mela ke i? na ra pawa mela ke i. o lano ke tulu ko na. na ra lano ke i ko ta.	This tool is broken. Can you repair it? I can repair it. Give the tool to me. I give it to you.	Five-turn dialogue
D022	learning	ta ra sona ke naru i? na ra sona ke naru mini. se ra kasa? sipu re ri ra ama ke naru mun, ra kasa. na ra sona.	Do you know this rule? I know the small rule. What is hard? A text that has many rules is hard. I understand.	Five-turn dialogue
D023	cause	ta ra pa no tanu so etu se? na ra pa no tanu so etu roka. temu luma po le, ta o tanu. na ra po tanu. na ra lora ke ta.	Why did you not come? I did not come because of rain. Tomorrow, come. I will come. I hear you.	Five-turn dialogue
D024	public	sipu i ra puka. se ra lowa ke i? mene mun ra lowa ke i. ka sipu ra lisu? sipu ra lisu, tune sipu ra mini.	This text is open. Who reads it? Many people read it. Is the text simple? The text is simple, but the text is small.	Five-turn dialogue
D025	meeting	lani ne ta ra se? lani ne na ra ya Mira. ta ra nema ke ya Aru? na ra nema ke ya Aru. o waro we na.	What is your name? My name is Mira. Do you study Aru? I study Aru. Speak with me.	Five-turn dialogue
