id	root	category	domain	level	status	introduced	meaning	notes
ARU-001	ra	particle	grammar	A0	core	v1.0.0	predicate marker	
ARU-002	ke	particle	grammar	A0	core	v1.0.0	object marker	
ARU-003	ne	particle	grammar	A1	core	v1.0.0	weak relation / genitive	
ARU-004	le	particle	grammar	A1	core	v1.0.0	context / frame	
ARU-005	re	particle	grammar	A2	core	v1.0.0	relative construction	
ARU-006	ri	particle	grammar	A2	core	v1.0.0	relative substitute	Used only inside re-phrases.
ARU-007	no	particle	grammar	A0	core	v1.0.0	not	
ARU-008	ka	particle	grammar	A0	core	v1.0.0	yes/no question	
ARU-009	o	particle	grammar	A0	core	v1.0.0	imperative	
ARU-010	ya	particle	grammar	A0	core	v1.0.0	name / foreign word	
ARU-011	pa	time	grammar	A1	core	v1.0.0	past	
ARU-012	nu	time	grammar	A1	core	v1.0.0	now / present	
ARU-013	po	time	grammar	A1	core	v1.0.0	future	
ARU-014	to	relation	grammar	A1	core	v1.0.0	area / place / contact	
ARU-015	ko	relation	grammar	A1	core	v1.0.0	direction / addressee / goal	
ARU-016	so	relation	grammar	A1	core	v1.0.0	source	For cause, use so etu X.
ARU-017	we	relation	grammar	A1	core	v1.0.0	accompaniment / means	
ARU-018	pasu	relation	grammar	A2	core	v1.0.0	than / compared with	
ARU-019	an	conjunction	grammar	A1	core	v1.0.0	and	
ARU-020	alo	conjunction	grammar	A1	core	v1.0.0	or	
ARU-021	sia	conjunction	grammar	A2	core	v1.0.0	therefore	
ARU-022	tune	conjunction	grammar	A2	core	v1.0.0	but	
ARU-023	na	pronoun	grammar	A0	core	v1.0.0	I / we	
ARU-024	ta	pronoun	grammar	A0	core	v1.0.0	you	
ARU-025	u	pronoun	grammar	A0	core	v1.0.0	he / she / it / they	
ARU-026	i	demonstrative	grammar	A0	core	v1.0.0	this / here	
ARU-027	ena	demonstrative	grammar	A1	core	v1.0.0	that / there	
ARU-028	se	indefinite	grammar	A0	core	v1.0.0	unknown element	
ARU-029	nalo	quantity	grammar	A0	core	v1.0.0	zero / absence	
ARU-030	un	quantity	grammar	A0	core	v1.0.0	one	
ARU-031	san	quantity	grammar	A0	core	v1.0.0	two	
ARU-032	mun	quantity	grammar	A0	core	v1.0.0	many	Also used for explicit plurality.
ARU-033	ora	quantity	grammar	A2	core	v1.0.0	all / every	Also used in superlative expressions.
ARU-034	saka	quantity	grammar	A2	core	v1.0.0	exact number	
ARU-035	mene	root	society	A0	core	v1.0.0	person	
ARU-036	lani	root	society	A0	core	v1.0.0	name	
ARU-037	mamu	root	society	A1	core	v1.0.0	parent / caretaker	
ARU-038	waro	root	society	A0	core	v1.0.0	speech / speak	
ARU-039	naru	root	society	A2	core	v1.0.0	rule / order	
ARU-040	etu	root	society	A2	core	v1.0.0	condition / circumstance	
ARU-041	malo	root	world	A0	core	v1.0.0	house / shelter / building	
ARU-042	tera	root	world	A1	core	v1.0.0	earth / place / surface	
ARU-043	luma	root	world	A0	core	v1.0.0	light / sun	
ARU-044	temu	root	world	A1	core	v1.0.0	time / period	
ARU-045	noki	root	world	A1	core	v1.0.0	darkness / night	
ARU-046	muna	root	world	A1	core	v1.0.0	moon	
ARU-047	wai	root	world	A0	core	v1.0.0	water / liquid	
ARU-048	pira	root	world	A1	core	v1.0.0	fire / heat	
