id	level	topic	aru	en	notes
T001	A0	daily-life	temu luma nu le, mene ra waki. mene ra taka ke suko. mene ra naka ko pano. melo ra lano ke wai ko mene. mene ra waro we melo.	Today the person begins the day. The person takes the container. The person goes to the field. The friend gives water to the person. The person speaks with the friend.	Generated stable-core corpus text
T002	A1	learning	melo ra nema ke ya Aru. melo ra lowa ke naru ne waro. naru i ra lisu. melo ra sawi ke pane. senu ra pane ke melo.	The friend studies Aru. The friend reads the rules of speech. This rule is simple. The friend asks for an answer. The teacher answers the friend.	Generated stable-core corpus text
T003	A1	tools	tulu i ra ko waro. senu ra sena ke tulu. tulu ra pane ke i le, waro ra nela. etu tulu ra no sona le, senu ra mela ke i. tulu ra wena ke senu.	This tool is for speech. The teacher tests the tool. The tool answers that speech is good. If the tool does not know, the teacher repairs it. A tool helps the teacher.	Generated stable-core corpus text
T004	A1	weather	kowa ra tanu. kano ra no naka so etu kowa. mamu ra to insa malo. kano ra waro ke i le, temu luma po le, kano ra po naka. mamu ra lora ke kano.	wind comes. The child does not go because of wind. The caretaker is inside the house. The child says that tomorrow the child will go. The caretaker hears the child.	Generated stable-core corpus text
T005	A2	relative	mamu re ri ra kipa ke sipu, ra kasa. mene ra sela ke ena. mamu ra lano ke sipu ko mene. mene ra toma ke sipu. sipu ra ne mene.	The caretaker who holds the text is hard. The person sees that person. The caretaker gives the text to the person. The person keeps the text. The text is related to the person.	Generated stable-core corpus text
T006	A2	comparison	pano i ra maru pasu pano ena. suko i ra sene pasu suko ena. mene ra waro lisu pasu melo. melo ra sona sama pasu mene. mene ra rima sona waro nela.	This field is bigger than that field. This container is more quiet than that container. The person speaks more simply than the friend. The friend knows as much as the person. The person wants to know how to speak well.	Generated stable-core corpus text
T007	A1	community	kale ne ya Aru ra maku ke sipu. melo ra raku ke sipu lisu. senu ra lowa ke sipu. kale ra sena ke waro. waro i ra ruma nela.	The Aru community makes a text. The friend writes a simple text. The teacher reads the text. The community tests speech. This speech becomes good.	Generated stable-core corpus text
T008	A1	public	sipu i ra puka. mene se ra tanu so tera para. mene se ra lowa ke sipu. u ra sawi ke naru se. kale ra pane ke u.	This text is open. Someone comes from a far place. Someone reads the text. They ask for some rule. The community answers them.	Generated stable-core corpus text
T009	A1	repair	lipa ra rupi. kano ra taka ke lipa. kano ra naka ko mamu. mamu ra mela ke lipa. lipa ra ruma pawa.	The document is broken. The child takes the document. The child goes to the caretaker. The caretaker repairs the document. The document becomes powerful.	Generated stable-core corpus text
T010	A2	clear-speech	waro lisu ra nela. mamu ra no rima ke naru maru. mamu ra rima ke naru mini. etu mene ra sona ke mamu le, mamu ra pawa waro. waro mini ra pawa.	Simple speech is good. The caretaker does not want big rules. The caretaker wants small rules. If the person understands the caretaker, the caretaker can speak. Small speech is powerful.	Generated stable-core corpus text
T011	A0	daily-life	temu luma nu le, mene ra waki. mene ra taka ke suko. mene ra naka ko pano. melo ra lano ke wai ko mene. mene ra waro we melo.	Today the person begins the day. The person takes the container. The person goes to the field. The friend gives water to the person. The person speaks with the friend.	Generated stable-core corpus text
T012	A1	learning	melo ra nema ke ya Aru. melo ra lowa ke naru ne waro. naru i ra lisu. melo ra sawi ke pane. senu ra pane ke melo.	The friend studies Aru. The friend reads the rules of speech. This rule is simple. The friend asks for an answer. The teacher answers the friend.	Generated stable-core corpus text
